eia_plant_id,eia_plant_name,resource_names,locked
64026,"ANSON Solar Center, LLC",ANSON1_UNIT1;ANSON1_UNIT2;ANSON2_UNIT1;SOLARA_UNIT1,1
57927,Baffin Wind,BAFFIN_UNIT1;BAFFIN_UNIT2,1
59654,Sendero,EXGNSND_WIND_1,1
64204,Elara Solar,ELARA_SL_UNIT1,1
63769,Briar Creek Solar 1,VISION_UNIT1,1
60436,East Pecos Solar,W_PECOS_UNIT1,1
56771,Silver Star I Wind Power Project,SANROMAN_WIND_1,1
64259,BPL Crown Solar LLC,GOLINDA_UNIT1,1
62772,Coniglio Solar,CONIGLIO_UNIT1,1
6416,Denison,DNDAM_DENISOG1;DNDAM_DENISOG2,1
62448,Lapetus,LAPETUS_UNIT_1,1
58378,Petra Nova Carbon Capture Cogen,PNPI_GT2,1
55795,Woodward Mountain II,WOODWRD1_WOODWRD1;WOODWRD2_WOODWRD2,1
61966,Victoria Port II,SANDHSYD_SH1;SANDHSYD_SH2,1
62804,Greasewood Solar,GREASWOD_UNIT1;GREASWOD_UNIT2,1
59238,Windthorst-2,RSNAKE_G1;RSNAKE_G2,1
64258,AP Sunray LLC,BELM_SLR_UNIT1,1
62618,Hidalgo Wind Farm II,WOODWRD2_WOODWRD2,1
62548,SJRR (LIG),DOWGEN_DOW_G81;DOWGEN_DOW_G82;DOWGEN_DOW_G83;DOWGEN_DOW_ST84;LIG_UNIT1;LIG_UNIT2;SANDHSYD_SH3;SANDHSYD_SH4;SANDHSYD_SH6;SANDHSYD_SH7,1
6243,Dansby,DANSBY_DANSBYG1;DANSBY_DANSBYG2;DANSBY_DANSBYG3,1
62227,"Seymour Hills Wind Project, LLC",S_HILLS_UNIT1,1
62773,"BT Cooke Solar, LLC",RIPPEY_UNIT1,1
62774,Kellam Solar,KELAM_SL_UNIT1,1
56673,Whirlwind Energy Center,DSKYWND1_UNIT_1A;DSKYWND1_UNIT_1B,1
60264,Bacliff,BAC_CTG1;BAC_CTG2;BAC_CTG3;BAC_CTG4;BAC_CTG5;BAC_CTG6;THW_GT61;THW_GT62;THW_THWGT51;THW_THWGT52;THW_THWGT53;THW_THWGT54;THW_THWGT55;THW_THWGT56,1
65662,Vancourt Solar Interconnections,VANCOURT_UNIT1,1
63223,Brightside,BRIGHTSD_UNIT1,1
56959,Ocotillo Windpower,CHAMPION_UNIT1;CHAMPION_UNIT2;CHAMPION_UNIT3;OWF_OWF,1
60459,Calhoun Port Comfort,MCSES_UNIT7,1
6414,Whitney,WND_WHITNEY1;WND_WHITNEY2,1
50475,Corpus Christi,CHAMON_CTG_0301,1
56674,Winchester Power Park,B_DAVIS_B_DAVIG1;DCSES_CT10;DCSES_CT20;DCSES_CT30;DCSES_CT40;DCSES_ESR1;DCSES_ESR2;DCSES_ESR3;DCSES_ESR4;LEON_CRK_LCPCT1;LEON_CRK_LCPCT2;LEON_CRK_LCPCT3;LEON_CRK_LCPCT4,1
58048,Mozart Wind Farm,MOZART_WIND_1,1
57699,Webberville Solar Project,HOVEY_UNIT1;HOVEY_UNIT2,1
6128,Amistad Dam & Power,AMISTAD_AMISTAG1;AMISTAD_AMISTAG2,1
61241,Tres City Power LLC,CITYVICT_CTG01;CITYVICT_CTG02,1
57504,TECO CHP-1,LARDVFTN_G5,1
3599,Marble Falls,MARBFA_MARBFAG1;MARBFA_MARBFAG2,1
4266,Spencer,MGSES_CT1;MGSES_CT2;MGSES_CT3;MGSES_CT4;MGSES_CT5;MGSES_CT6,1
3598,Inks,FALCON_FALCONG1;INKSDA_INKS_G1;MARSFO_MARSFOG1;MARSFO_MARSFOG2;MARSFO_MARSFOG3;WIRTZ_WIRTZ_G2,1
66567,HEBHoustonDistributionCenter,SPNCER_SPNCE_4;STEAM_STEAM_3,1
61625,West Moore Solar II,SIG_SLR_UNIT1,1
3594,Austin,AUSTPL_AUSTING1;AUSTPL_AUSTING2;FALCON_FALCONG3,1
67849,BT Signal Ranch,CMPD_SLR_SOLAR1;CMPD_SLR_SOLAR2;CMPD_SLR_SOLAR3,1
50127,Signal Hill Generating LLC,EXN_EXN_G10;EXN_EXN_G11;EXN_EXN_G12;EXN_EXN_G13;EXN_EXN_G9,1
3561,Bryan (TX),DOWGEN_DOW_G66;DOWGEN_DOW_ST65;EXN_EXN_G1;EXN_EXN_G2;EXN_EXN_G3;EXN_EXN_G4,1
67318,OTHERTexasA&M,TC_GTG2;TC_TCHP1,1
