project,resource_name,tech,status,queue_id,capacity_mw,hub,county,grade,overall_score,completeness_pct,verification_score,calibration_score,eia_crosswalk,eia_plant_id,sced_actuals,gen_profile,plant_value,location_confidence,portal,missing_fields,coverage
Quarter Ranch Solar,EIA_67078,Solar,operating,,154.1,South,Webb,D,40.0,80.0,40,0,True,67078,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
"Montgomery Ranch Wind Farm, LLC",EIA_67095,Wind,operating,,202.5,North,Foard,F,35.6,66.7,40,0,True,67095,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Fagus Solar Park,EIA_67123,Solar,operating,,331.6,Pan,Childress,C,73.3,80.0,40,100,True,67123,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Yellow Viking Solar,EIA_67222,Solar,operating,,170.0,North,Somervell,D,40.0,80.0,40,0,True,67222,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Alina Energy LLC,EIA_67250,Solar,operating,,200.0,South,Wilson,D,53.3,100.0,60,0,True,67250,False,False,False,medium,,,Registry; Solar Forecast
SGT Hoskins Solar Project Hybrid,EIA_67341,Solar,operating,,204.1,North,Lamar,D,53.3,100.0,60,0,True,67341,False,False,False,medium,,,Registry; Solar Forecast
Erath County Solar,EIA_67353,Solar,operating,,204.0,North,Erath,D,40.0,80.0,40,0,True,67353,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Waco Solar II,EIA_67354,Solar,operating,,200.0,North,Limestone,D,53.3,100.0,60,0,True,67354,False,False,False,medium,,,Registry; Solar Forecast
Throckmorton Wind,EIA_67356,Wind,operating,,225.0,North,Haskell,F,35.6,66.7,40,0,True,67356,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Tiger Solar,EIA_67357,Solar,operating,,250.0,North,Jones,D,53.3,100.0,60,0,True,67357,False,False,False,medium,,,Registry; Solar Forecast
Lake Whitney Solar,EIA_67358,Solar,operating,,150.0,North,Bosque,D,40.0,80.0,40,0,True,67358,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Funston Solar,EIA_67359,Solar,operating,,350.0,North,Jones,C,73.3,80.0,40,100,True,67359,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Lane City Wind,EIA_67443,Wind,operating,,202.5,South,Wharton,F,35.6,66.7,40,0,True,67443,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Blue Hills Wind Project,S_HILLS_UNIT1,Wind,operating,,276.0,West,Val Verde,D,48.9,66.7,80,0,True,67542,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
Donegal Solar Project,EIA_67543,Solar,operating,,204.2,West,Dickens,D,40.0,80.0,40,0,True,67543,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Leitrim Solar Park,EIA_67544,Solar,operating,,91.2,North,Hill,D,40.0,80.0,40,0,True,67544,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Elm Flats Solar,EIA_67552,Solar,operating,,125.0,North,Navarro,D,53.3,100.0,60,0,True,67552,False,False,False,medium,,,Registry; Solar Forecast
Dunlay Solar,EIA_67559,Solar,operating,,180.4,South,Medina,D,40.0,80.0,40,0,True,67559,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Edens Solar,EIA_67560,Solar,operating,,70.0,North,Hill,D,40.0,80.0,40,0,True,67560,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Callan Solar,EIA_67561,Solar,operating,,90.0,North,McCulloch,D,40.0,80.0,40,0,True,67561,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Stonewall Solar,EIA_67562,Solar,operating,,63.0,West,Stonewall,D,40.0,80.0,40,0,True,67562,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Ratcliff Solar Park,EIA_67563,Solar,operating,,78.8,Houston,Freestone,D,40.0,80.0,40,0,True,67563,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Reis Solar Park,EIA_67564,Solar,operating,,105.5,South,Atascosa,D,40.0,80.0,40,0,True,67564,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Roscommon Solar Park,EIA_67566,Solar,operating,,82.8,North,Lamar,D,53.3,100.0,60,0,True,67566,False,False,False,medium,,,Registry; Solar Forecast
Wensowitch Solar Park,EIA_67567,Solar,operating,,145.6,North,Navarro,D,40.0,80.0,40,0,True,67567,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Wittig Solar Park,EIA_67568,Solar,operating,,96.0,South,Wharton,D,40.0,80.0,40,0,True,67568,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
TX Nazareth Solar,EIA_67575,Solar,operating,,201.0,Pan,Swisher,D,40.0,80.0,40,0,True,67575,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Cairos Solar and Storage,EIA_67581,Solar,operating,,153.3,West,Kinney,D,40.0,80.0,40,0,True,67581,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Amerada,EIA_67649,Solar,operating,,300.0,North,Freestone,C,73.3,80.0,40,100,True,67649,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Hanson,EIA_67657,Solar,operating,,396.0,North,Coleman,C,73.3,80.0,40,100,True,67657,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Langer,EIA_67659,Solar,operating,,245.0,North,Bosque,D,40.0,80.0,40,0,True,67659,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Soleil,EIA_67664,Solar,operating,,450.0,North,Clay,C,73.3,80.0,40,100,True,67664,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Peyton Creek Wind Farm II,EIA_67700,Wind,operating,,243.0,South,Matagorda,F,35.6,66.7,40,0,True,67700,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Stampede Solar Hybrid,BR_ARROW_UNIT1,Solar,operating,,255.9,North,Hopkins,D,53.3,80.0,80,0,True,67762,True,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL
Hart Wind,HART_WND_UNIT1,Wind,operating,,166.4,Pan,Castro,D,48.9,66.7,80,0,True,67763,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
Compadre Solar,EIA_67765,Solar,operating,,150.0,North,Cooke,D,40.0,80.0,40,0,True,67765,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Braswell Solar,EIA_67772,Solar,operating,,44.2,North,McLennan,D,53.3,100.0,60,0,True,67772,False,False,False,medium,,,Registry; Solar Forecast
Cosper Solar,EIA_67773,Solar,operating,,148.2,North,Bell,D,40.0,80.0,40,0,True,67773,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Cuchillas PV and BESS,EIA_67776,Solar,operating,,305.6,South,Webb,B,86.7,100.0,60,100,True,67776,False,True,True,medium,,,Registry; Solar Forecast; Plant Value
Harryoung PV and BESS,EIA_67777,Solar,operating,,190.0,South,Cameron,D,40.0,80.0,40,0,True,67777,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Findley PV and BESS,EIA_67778,Solar,operating,,50.3,North,Limestone,D,40.0,80.0,40,0,True,67778,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Lampe Solar,EIA_67781,Solar,operating,,60.2,North,Washington,D,40.0,80.0,40,0,True,67781,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
RedSun PV and BESS,EIA_67782,Solar,operating,,84.0,North,Burnet,D,40.0,80.0,40,0,True,67782,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Whistle Solar,EIA_67785,Solar,operating,,56.3,North,Navarro,D,40.0,80.0,40,0,True,67785,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Payne Battlecreek Solar,EIA_67788,Solar,operating,,85.0,North,Hill,D,40.0,80.0,40,0,True,67788,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Ray Ranch Solar,EIA_67837,Solar,operating,,255.2,South,Goliad,D,40.0,80.0,40,0,True,67837,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Liberty Hybrid Solar and Storage Project,EIA_67867,Solar,operating,,67.2,Houston,Harris,D,40.0,80.0,40,0,True,67867,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Brittlebush Solar and Battery Storage,EIA_67895,Solar,operating,,400.0,North,Henderson,C,73.3,80.0,40,100,True,67895,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Vernon Solar and Storage,EIA_67934,Solar,operating,,104.0,North,Wilbarger,D,40.0,80.0,40,0,True,67934,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Concho Pearl Solar and Storage,EIA_67956,Solar,operating,,171.9,North,Concho,D,53.3,100.0,60,0,True,67956,False,False,False,medium,,,Registry; Solar Forecast
Cattlemen Solar II,EIA_67976,Solar,operating,,200.0,North,Milam,D,40.0,80.0,40,0,True,67976,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Hornet Solar II (TX) (Hybrid),EIA_67985,Solar,operating,,200.0,Pan,Swisher,D,40.0,80.0,40,0,True,67985,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Mystic Springs Renewable Energy (Hybrid),EIA_67987,Solar,operating,,250.0,North,Kaufman,D,40.0,80.0,40,0,True,67987,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Leuven Solar LLC,EIA_67996,Solar,operating,,217.0,West,Nolan,D,40.0,80.0,40,0,True,67996,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Red Hollow Renewable Energy,EIA_68030,Solar,operating,,300.0,North,Archer,D,40.0,80.0,40,0,True,68030,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Sunrose Renewable Energy,EIA_68033,Solar,operating,,300.0,Houston,Austin,D,53.3,100.0,60,0,True,68033,False,False,False,medium,,,Registry; Solar Forecast
Sunscape Renewable Energy,EIA_68034,Solar,operating,,500.0,South,Nueces,C,73.3,80.0,40,100,True,68034,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Chillingham Solar,CHIL_SLR_SOLAR1,Solar,operating,,350.0,North,Bell,A,100.0,100.0,100,100,True,68065,True,True,True,medium,,,Registry; Solar Forecast; SCED ETL; Plant Value
Chisme Solar and Storage,EIA_68078,Solar,operating,,147.0,North,Mills,D,40.0,80.0,40,0,True,68078,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Marcos PV and BESS,EIA_68080,Solar,operating,,115.9,South,Victoria,D,53.3,100.0,60,0,True,68080,False,False,False,medium,,,Registry; Solar Forecast
Bluebonnet Prairie Wind,EIA_68082,Wind,operating,,170.0,North,Navarro,F,35.6,66.7,40,0,True,68082,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Willow Beach Wind,EIA_68090,Wind,operating,,200.0,South,Brazoria,F,35.6,66.7,40,0,True,68090,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Angelo Solar,EIA_68145,Solar,operating,,195.0,West,Tom Green,D,50.0,90.0,60,0,True,68145,False,False,False,high,,tracking_type,Registry; Solar Forecast
Rio Lago Solar,EIA_68155,Solar,operating,,123.0,North,Bandera,D,40.0,80.0,40,0,True,68155,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Myers Solar and Storage,EIA_68172,Solar,operating,,100.9,South,Goliad,D,40.0,80.0,40,0,True,68172,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Sandford Solar and Storage,EIA_68173,Solar,operating,,126.2,North,Wise,D,40.0,80.0,40,0,True,68173,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Stegall Solar and Storage,EIA_68174,Solar,operating,,81.6,North,Bell,D,40.0,80.0,40,0,True,68174,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Symank Solar,EIA_68175,Solar,operating,,66.6,North,Bosque,D,40.0,80.0,40,0,True,68175,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Big Elm Solar,EIA_68180,Solar,operating,,200.0,North,Bell,D,50.0,90.0,60,0,True,68180,False,False,False,high,,tracking_type,Registry; Solar Forecast
Two Rivers Solar,EIA_68198,Solar,operating,,214.0,North,Milam,D,40.0,80.0,40,0,True,68198,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Sequoia 1,EIA_68200,Solar,operating,,401.4,North,Eastland,C,73.3,80.0,40,100,True,68200,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
IP Roman Solar,EIA_68201,Solar,operating,,425.0,Pan,Deaf Smith,C,73.3,80.0,40,100,True,68201,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
IP Roman Wind,EIA_68202,Wind,operating,,575.0,Pan,Deaf Smith,C,68.9,66.7,40,100,True,68202,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
IP Meitner Solar,EIA_68203,Solar,operating,,340.0,Pan,Gray,C,73.3,80.0,40,100,True,68203,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
IP Meitner Wind,EIA_68204,Wind,operating,,460.0,Pan,Roberts,C,68.9,66.7,40,100,True,68204,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
Walleye Solar (Sandow II),EIA_68231,Solar,operating,,369.0,North,Milam,B,83.3,90.0,60,100,True,68231,False,True,True,medium,,tracking_type,Registry; Solar Forecast; Plant Value
"Gransolar Texas One, LLC",EIA_68244,Solar,operating,,50.0,North,Milam,D,50.0,90.0,60,0,True,68244,False,False,False,high,,tracking_type,Registry; Solar Forecast
BT Jungmann,EIA_68246,Solar,operating,,40.0,North,Milam,D,50.0,90.0,60,0,True,68246,False,False,False,high,,tracking_type,Registry; Solar Forecast
Erin,EIA_68275,Solar,operating,,202.0,South,Wharton,D,53.3,100.0,60,0,True,68275,False,False,False,medium,,,Registry; Solar Forecast
Gigawatt Solar,EIA_68305,Solar,operating,,1004.0,North,Parker,C,73.3,80.0,40,100,True,68305,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Ion Solar (TX),EIA_68306,Solar,operating,,384.0,North,Ellis,B,86.7,100.0,60,100,True,68306,False,True,True,medium,,,Registry; Solar Forecast; Plant Value
Abeja Solar Farm,EIA_68347,Solar,operating,,200.0,South,Bee,D,40.0,80.0,40,0,True,68347,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Clairemont Solar,EIA_68351,Solar,operating,,500.0,West,Kent,B,83.3,90.0,60,100,True,68351,False,True,True,medium,,tracking_type,Registry; Solar Forecast; Plant Value
La Salle Solar,EIA_68354,Solar,operating,,500.0,South,LaSalle,C,73.3,80.0,40,100,True,68354,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Lazy U Solar 1,EIA_68357,Solar,operating,,250.0,North,Hardeman,D,40.0,80.0,40,0,True,68357,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Lazy U Solar 2,EIA_68358,Solar,operating,,250.0,North,Hardeman,D,40.0,80.0,40,0,True,68358,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Pepper Solar Farm,EIA_68359,Solar,operating,,120.0,North,McLennan,D,40.0,80.0,40,0,True,68359,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Isaac Solar,EIA_68380,Solar,operating,,51.6,South,Matagorda,D,40.0,80.0,40,0,True,68380,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Brazoria Solar I,EIA_68410,Solar,operating,,125.0,South,Brazoria,D,40.0,80.0,40,0,True,68410,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Noor Solar,EIA_68411,Solar,operating,,188.2,Houston,Chambers,D,40.0,80.0,40,0,True,68411,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
"Roaring Springs, LLC",EIA_68458,Solar,operating,,250.0,West,Motley,D,40.0,80.0,40,0,True,68458,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
"Bob Creek Wind, LLC",EIA_68459,Wind,operating,,175.0,West,Sterling,F,35.6,66.7,40,0,True,68459,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Azalea Springs Solar Park,EIA_68470,Solar,operating,,180.0,North,Angelina,D,40.0,80.0,40,0,True,68470,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Darkwood Solar,EIA_68478,Solar,operating,,150.7,North,Comanche,D,40.0,80.0,40,0,True,68478,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Short Creek Solar,EIA_68479,Solar,operating,,606.4,North,Wichita,C,73.3,80.0,40,100,True,68479,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Hill Solar II,EIA_68481,Solar,operating,,200.0,North,Hill,D,40.0,80.0,40,0,True,68481,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
"Diver Solar, LLC",EIA_68483,Solar,operating,,224.0,North,Limestone,D,40.0,80.0,40,0,True,68483,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Swift Air Solar I,SWFT_SLR_UNIT1,Solar,operating,,145.0,West,Ector,C,66.7,100.0,100,0,True,68537,True,False,False,medium,,,Registry; Solar Forecast; SCED ETL
Swift Air Solar II,EIA_68587,Solar,operating,,100.0,West,Ector,D,40.0,80.0,40,0,True,68587,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Swift Air Solar III,EIA_68588,Solar,operating,,100.0,West,Ector,D,40.0,80.0,40,0,True,68588,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Rockhound A,EIA_68592,Solar,operating,,245.0,West,Ector,D,40.0,80.0,40,0,True,68592,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Rockhound C,EIA_68593,Solar,operating,,61.0,West,Ector,D,40.0,80.0,40,0,True,68593,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Rockhound D,EIA_68594,Solar,operating,,28.0,West,Ector,D,40.0,80.0,40,0,True,68594,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Dahlia Energy,EIA_68604,Solar,operating,,200.0,South,La Salle,D,40.0,80.0,40,0,True,68604,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Cannibal Draw Solar and Storage,EIA_68738,Solar,operating,,149.5,West,Glasscock,D,40.0,80.0,40,0,True,68738,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Uva Creek Solar,EIA_68739,Solar,operating,,301.0,West,Borden,C,73.3,80.0,40,100,True,68739,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Quantum Solar,QTUM_SLR_UNIT1,Solar,operating,,374.4,North,Haskell,A,100.0,100.0,100,100,True,68760,True,True,True,medium,,,Registry; Solar Forecast; SCED ETL; Plant Value
Quantum II Solar,EIA_68762,Solar,operating,,374.4,North,Haskell,C,73.3,80.0,40,100,True,68762,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Hutcherson Solar,EIA_68765,Solar,operating,,123.3,North,Wilbarger,D,40.0,80.0,40,0,True,68765,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Pioneer Field Wind Power,EIA_68766,Wind,operating,,136.2,West,Tom Green,F,35.6,66.7,40,0,True,68766,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Greenalia Solar Power Blackwelder Ranch,EIA_68767,Solar,operating,,199.7,West,Pecos,D,40.0,80.0,40,0,True,68767,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Blackwelder Ranch Wind,EIA_68768,Wind,operating,,110.4,West,Pecos,F,35.6,66.7,40,0,True,68768,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Greenalia Solar Power Misae III,EIA_68769,Solar,operating,,185.4,West,Childress,D,40.0,80.0,40,0,True,68769,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Hecate Energy Outpost Solar LLC,OUTP_SLR_UNIT1,Solar,operating,,515.0,South,Webb,B,86.7,80.0,80,100,True,68838,True,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL; Plant Value
Hecate Energy Longhorn Solar LLC,EIA_68839,Solar,operating,,650.0,North,Jack,C,73.3,80.0,40,100,True,68839,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Hermes Solar PV,HRMS_SLR_UNIT1,Solar,operating,,100.4,North,Bell,C,66.7,100.0,100,0,True,68851,True,False,False,medium,,,Registry; Solar Forecast; SCED ETL
Limewood Bell Renewables Solar,LMWD_SLR_SOLAR1,Solar,operating,,204.0,North,Bell,C,63.3,90.0,100,0,True,68853,True,False,False,medium,,tracking_type,Registry; Solar Forecast; SCED ETL
Tyson Nick,TYSN_SLR_UNIT1,Solar,operating,,90.5,North,Lamar,D,53.3,80.0,80,0,True,68856,True,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL
Big Sampson Wind,EIA_68873,Wind,operating,,265.0,West,Crockett,F,35.6,66.7,40,0,True,68873,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Claxton Solar,EIA_68901,Solar,operating,,150.6,North,Hopkins,D,40.0,80.0,40,0,True,68901,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Echols Creek Solar,EIA_68902,Solar,operating,,201.2,North,Lamar,D,53.3,100.0,60,0,True,68902,False,False,False,medium,,,Registry; Solar Forecast
Musgravite Solar,EIA_68903,Solar,operating,,100.6,North,Henderson,D,40.0,80.0,40,0,True,68903,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Long Point Solar,EIA_68998,Solar,operating,,120.0,South,Brazoria,D,53.3,100.0,60,0,True,68998,False,False,False,high,,,Registry; Solar Forecast
Hubbard Wind II,EIA_69010,Wind,operating,,304.5,North,Hill,C,68.9,66.7,40,100,True,69010,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
"Stoneridge Solar, LLC",EIA_69027,Solar,operating,,100.0,North,Milam,D,50.0,90.0,60,0,True,69027,False,False,False,medium,,tracking_type,Registry; Solar Forecast
Decker Creek,EIA_3548,Solar,operating,,0.3,North,Travis,D,40.0,80.0,40,0,True,3548,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Majestic 2 Wind Farm,EIA_56658,Wind,operating,,79.2,Pan,Carson,F,35.6,66.7,40,0,True,56658,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Texas Gulf Wind 2,EIA_56662,Wind,operating,,187.2,South,Kenedy,F,35.6,66.7,40,0,True,56662,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Stella Wind Farm II,EIA_59064,Wind,operating,,200.0,South,Kenedy,F,35.6,66.7,40,0,True,59064,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Grandview Wind Farm III LLC,EIA_59067,Wind,operating,,188.0,Pan,Carson,F,35.6,66.7,40,0,True,59067,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Jayhawk,EIA_59806,Solar,operating,,101.0,West,Mitchell,D,40.0,80.0,40,0,True,59806,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
"Tex-Mex Renewable Energy Project, LLC",EIA_60269,Wind,operating,,80.0,West,Bailey,F,35.6,66.7,40,0,True,60269,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
"Raymond, LLC",EIA_60362,Wind,operating,,200.0,South,Willacy,F,35.6,66.7,40,0,True,60362,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
West Moore Solar,EIA_61624,Solar,operating,,5.0,North,Grayson,D,53.3,100.0,60,0,True,61624,False,False,False,high,,,Registry; Solar Forecast
Old Jackson Solar LLC,EIA_62501,Solar,operating,,128.0,North,Van Zandt,D,40.0,80.0,40,0,True,62501,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Solemio LLC,EIA_62522,Solar,operating,,80.0,North,Hopkins,D,40.0,80.0,40,0,True,62522,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Hallmark,EIA_63234,Solar,operating,,42.0,North,Hunt,D,53.3,100.0,60,0,True,63234,False,False,False,medium,,,Registry; Solar Forecast
Brushy Creek Solar LLC,EIA_64539,Solar,operating,,177.0,West,Tom Green,D,40.0,80.0,40,0,True,64539,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Knickerbocker Solar LLC,EIA_64540,Solar,operating,,200.0,West,Tom Green,D,40.0,80.0,40,0,True,64540,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Dogwood Creek Solar and BESS,EIA_65843,Solar,operating,,435.5,North,Bastrop,C,73.3,80.0,40,100,True,65843,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Goldenrod Creek Solar and BESS SLF,EIA_65845,Solar,operating,,660.0,South,Jackson,C,73.3,80.0,40,100,True,65845,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Hollow Branch Creek 1 Solar,EIA_65846,Solar,operating,,460.0,North,Madison,C,73.3,80.0,40,100,True,65846,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Elio Energy LLC,EIA_65850,Solar,operating,,160.0,South,Brazoria,D,53.3,100.0,60,0,True,65850,False,False,False,medium,,,Registry; Solar Forecast
Tehuacana Creek 2 Solar and BESS,EIA_65856,Solar,operating,,700.0,North,Navarro,B,86.7,100.0,60,100,True,65856,False,True,True,medium,,,Registry; Solar Forecast; Plant Value
"Rosebud Solar, LLC",EIA_65899,Solar,operating,,132.0,North,Falls,D,40.0,80.0,40,0,True,65899,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Nacero Penwell Solar Energy Center,EIA_65928,Solar,operating,,200.0,Pan,El Paso,D,40.0,80.0,40,0,True,65928,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
"Peeler Solar, LLC",EIA_65932,Solar,operating,,200.0,South,Atascosa,D,40.0,80.0,40,0,True,65932,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
