project,resource_name,tech,status,queue_id,capacity_mw,hub,county,grade,overall_score,completeness_pct,verification_score,calibration_score,eia_crosswalk,eia_plant_id,sced_actuals,gen_profile,plant_value,location_confidence,portal,missing_fields,coverage
BMP Wind (TX),EIA_62809,Wind,operating,,340.0,North,Callahan,C,68.9,66.7,40,100,True,62809,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
ENGIE Long Draw Solar LLC,EIA_62845,Solar,operating,,225.0,West,Borden,D,53.3,100.0,60,0,True,62845,False,False,False,high,,,Registry; Solar Forecast
Maverick Creek Wind,EIA_62853,Wind,operating,,491.6,North,Concho,C,68.9,66.7,40,100,True,62853,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
West Raymond Wind Farm LLC,TRUENO_UNIT1,Wind,operating,,239.8,South,Willacy,D,48.9,66.7,80,0,True,62855,True,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL
"Raymond Wind Farm, LLC",EIA_62909,Wind,operating,,200.2,South,Willacy,F,35.6,66.7,40,0,True,62909,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Oberon IB,EIA_62932,Solar,operating,,30.0,West,Ector,D,53.3,100.0,60,0,True,62932,False,False,False,high,,,Registry; Solar Forecast
Oberon IA,OBERON_UNIT_1_J01,Solar,operating,,150.0,West,Ector,C,66.7,100.0,100,0,True,62933,True,False,False,high,,,Registry; Solar Forecast; SCED ETL
Fighting Jays Solar Project,EIA_62945,Solar,operating,,227.5,South,Fort Bend,D,53.3,100.0,60,0,True,62945,False,False,False,high,,,Registry; Solar Forecast
Griffin Solar,EIA_62953,Solar,operating,,5.0,North,McLennan,D,53.3,100.0,60,0,True,62953,False,False,False,high,,,Registry; Solar Forecast
Mars Solar,EIA_63027,Solar,operating,,10.0,South,Webb,D,53.3,100.0,60,0,True,63027,False,False,False,high,,,Registry; Solar Forecast
"Canadian Breaks, LLC",EIA_63030,Wind,operating,,210.1,Pan,Deaf Smith,F,35.6,66.7,40,0,True,63030,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Prairie Hill Wind Project,EIA_63100,Wind,operating,,300.0,North,Limestone,C,68.9,66.7,40,100,True,63100,False,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; Plant Value
Las Lomas Wind Project,EIA_63101,Wind,operating,,201.6,South,Zapata,F,35.6,66.7,40,0,True,63101,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
"TPE Whitney Solar, LLC",EIA_63180,Solar,operating,,9.9,North,Bosque,D,40.0,80.0,40,0,True,63180,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Delilah Solar Energy LLC,EIA_63194,Solar,operating,,300.0,North,Red River,C,73.3,80.0,40,100,True,63194,False,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Aviator Wind,AVIATOR_UNIT1,Wind,operating,,525.0,West,Coke,B,82.2,66.7,80,100,True,63209,True,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL; Plant Value
Samson Solar Energy,EIA_63211,Solar,operating,,250.0,North,Franklin,D,40.0,80.0,40,0,True,63211,False,False,False,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast
Impact Solar 1,IMPACT_UNIT1,Solar,operating,,198.5,North,Lamar,C,66.7,100.0,100,0,True,63222,True,False,False,medium,,,Registry; Solar Forecast; SCED ETL
